source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://www.newvision.co.ug/news/622129-posta-donates-to-bududa.html,Kampala,04/01/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/909602/-/a2r7saz/-/index.html,Kampala,05/01/2010,4,L,,,1
http://www.monitor.co.ug/Magazines/Health---Living/-/689846/949810/-/rg4w5a/-/index.html,Kampala,07/01/2010,4,L,,,1
http://www.newvision.co.ug/news/612040-storm-pounds-city.html,Kampala,09/01/2010,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/845856/-/10yp9fm/-/index.html,Kampala,20/01/2010,4,L,,,1
http://www.monitor.co.ug/Sports/Soccer/-/690266/847330/-/1590dlsz/-/index.html,Kampala,22/01/2010,4,L,,,1
http://www.newvision.co.ug/news/626469-upc-reinstates-four-suspended-officials.html,Kampala,27/01/2010,4,L,,,1
http://www.monitor.co.ug/News/Insight/-/688338/852468/-/7dx2g2/-/index.html,Kampala,31/01/2010,4,L,,,1
http://www.newvision.co.ug/news/626055-the-culverts-will-cause-flooding.html,Kampala,02/02/2010,4,L,,,1
http://www.monitor.co.ug/Business/-/688322/891310/-/ediu2kz/-/index.html,Kampala,04/02/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/910012/-/a2c2gdz/-/index.html,Kampala,05/02/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1001570/-/coc4nfz/-/index.html,Kampala,09/02/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/866952/-/wilpbp/-/index.html,Kampala,23/02/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/868646/-/win1kw/-/index.html,Kampala,25/02/2010,4,L,,,1
http://www.newvision.co.ug/news/624383-make-flood-prevention-immediate-priority.html,Kampala,27/02/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/834724/-/wgpncw/-/index.html,Kampala,01/03/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/872106/-/wj5ajd/-/index.html,Kampala,03/03/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/891786/-/wkcswn/-/index.html,Kampala,04/03/2010,4,L,,,1
