index,countryCodeISO3,adminLevel,placeCode,indicator,value
498,ETH,3,ET040312,populationTotal,77820
499,ETH,3,ET040313,populationTotal,37498
500,ETH,3,ET040314,populationTotal,49961
501,ETH,3,ET040315,populationTotal,41382
502,ETH,3,ET040316,populationTotal,51151
503,ETH,3,ET040317,populationTotal,37338
504,ETH,3,ET040319,populationTotal,36797
505,ETH,3,ET040320,populationTotal,45721
506,ETH,3,ET040324,populationTotal,73252
507,ETH,3,ET040401,populationTotal,193752
508,ETH,3,ET040402,populationTotal,247938
509,ETH,3,ET040403,populationTotal,214717
510,ETH,3,ET040404,populationTotal,185136
511,ETH,3,ET040405,populationTotal,266966
512,ETH,3,ET040406,populationTotal,232144
513,ETH,3,ET040407,populationTotal,395330
514,ETH,3,ET040408,populationTotal,191137
515,ETH,3,ET040409,populationTotal,347973
516,ETH,3,ET040410,populationTotal,270461
517,ETH,3,ET040411,populationTotal,265866
518,ETH,3,ET040412,populationTotal,166684
519,ETH,3,ET040413,populationTotal,148319
520,ETH,3,ET040414,populationTotal,124128
521,ETH,3,ET040415,populationTotal,92327
522,ETH,3,ET040416,populationTotal,68799
523,ETH,3,ET040417,populationTotal,47329
524,ETH,3,ET040418,populationTotal,246764
525,ETH,3,ET040490,populationTotal,214745
526,ETH,3,ET040491,populationTotal,113671
527,ETH,3,ET040495,populationTotal,89507
528,ETH,3,ET040499,populationTotal,119560
529,ETH,3,ET040500,populationTotal,101568
530,ETH,3,ET040501,populationTotal,155946
531,ETH,3,ET040502,populationTotal,240302
532,ETH,3,ET040503,populationTotal,134688
533,ETH,3,ET040504,populationTotal,151590
534,ETH,3,ET040505,populationTotal,98935
535,ETH,3,ET040506,populationTotal,199111
536,ETH,3,ET040507,populationTotal,163108
537,ETH,3,ET040508,populationTotal,132932
538,ETH,3,ET040509,populationTotal,95820
539,ETH,3,ET040510,populationTotal,178822
540,ETH,3,ET040511,populationTotal,133372
541,ETH,3,ET040513,populationTotal,187783
542,ETH,3,ET040514,populationTotal,120288
543,ETH,3,ET040515,populationTotal,105728
544,ETH,3,ET040516,populationTotal,191415
545,ETH,3,ET040517,populationTotal,184455
546,ETH,3,ET040518,populationTotal,105687
547,ETH,3,ET040519,populationTotal,96847
548,ETH,3,ET040590,populationTotal,76808
549,ETH,3,ET040592,populationTotal,85117
550,ETH,3,ET040594,populationTotal,99131
551,ETH,3,ET040597,populationTotal,77202
552,ETH,3,ET040601,populationTotal,224793
553,ETH,3,ET040602,populationTotal,294456
554,ETH,3,ET040603,populationTotal,139805
555,ETH,3,ET040604,populationTotal,171441
556,ETH,3,ET040605,populationTotal,157280
557,ETH,3,ET040606,populationTotal,116365
558,ETH,3,ET040607,populationTotal,96292
559,ETH,3,ET040608,populationTotal,184102
560,ETH,3,ET040609,populationTotal,106818
561,ETH,3,ET040610,populationTotal,134983
562,ETH,3,ET040613,populationTotal,43506
563,ETH,3,ET040614,populationTotal,81100
564,ETH,3,ET040615,populationTotal,104330
565,ETH,3,ET040617,populationTotal,91857
566,ETH,3,ET040701,populationTotal,130692
567,ETH,3,ET040702,populationTotal,221525
568,ETH,3,ET040703,populationTotal,154737
569,ETH,3,ET040704,populationTotal,140306
570,ETH,3,ET040705,populationTotal,136244
571,ETH,3,ET040706,populationTotal,162824
572,ETH,3,ET040707,populationTotal,218897
573,ETH,3,ET040708,populationTotal,339556
574,ETH,3,ET040709,populationTotal,238084
575,ETH,3,ET040710,populationTotal,109340
576,ETH,3,ET040711,populationTotal,114432
577,ETH,3,ET040714,populationTotal,446946
578,ETH,3,ET040797,populationTotal,63024
579,ETH,3,ET040799,populationTotal,16202
580,ETH,3,ET040801,populationTotal,138664
581,ETH,3,ET040802,populationTotal,127172
582,ETH,3,ET040803,populationTotal,174441
583,ETH,3,ET040804,populationTotal,212864
584,ETH,3,ET040805,populationTotal,112342
585,ETH,3,ET040806,populationTotal,163580
586,ETH,3,ET040807,populationTotal,205907
587,ETH,3,ET040808,populationTotal,234727
588,ETH,3,ET040809,populationTotal,139814
589,ETH,3,ET040810,populationTotal,113902
590,ETH,3,ET040811,populationTotal,80671
591,ETH,3,ET040812,populationTotal,268539
592,ETH,3,ET040813,populationTotal,105425
593,ETH,3,ET040814,populationTotal,280883
594,ETH,3,ET040815,populationTotal,218898
595,ETH,3,ET040816,populationTotal,147378
596,ETH,3,ET040817,populationTotal,272280
597,ETH,3,ET040818,populationTotal,269512
598,ETH,3,ET040819,populationTotal,124104
599,ETH,3,ET040820,populationTotal,119296
600,ETH,3,ET040821,populationTotal,165294
601,ETH,3,ET040822,populationTotal,110880
602,ETH,3,ET040823,populationTotal,126522
603,ETH,3,ET040824,populationTotal,94541
604,ETH,3,ET040825,populationTotal,101942
605,ETH,3,ET040893,populationTotal,107539
606,ETH,3,ET040894,populationTotal,23634
607,ETH,3,ET040901,populationTotal,131668
608,ETH,3,ET040902,populationTotal,196465
609,ETH,3,ET040903,populationTotal,239736
610,ETH,3,ET040904,populationTotal,218290
611,ETH,3,ET040905,populationTotal,65111
612,ETH,3,ET040906,populationTotal,125062
613,ETH,3,ET040907,populationTotal,144478
614,ETH,3,ET040908,populationTotal,314658
615,ETH,3,ET040909,populationTotal,233347
616,ETH,3,ET040910,populationTotal,150816
617,ETH,3,ET040911,populationTotal,264659
618,ETH,3,ET040912,populationTotal,295257
619,ETH,3,ET040913,populationTotal,281060
620,ETH,3,ET040914,populationTotal,29055
621,ETH,3,ET040915,populationTotal,103794
622,ETH,3,ET040991,populationTotal,120081
623,ETH,3,ET040998,populationTotal,91811
624,ETH,3,ET041000,populationTotal,8256
625,ETH,3,ET041001,populationTotal,207318
626,ETH,3,ET041002,populationTotal,185407
627,ETH,3,ET041003,populationTotal,277897
