adminLevel,placeCode,indicator,value,countryCodeISO3
4,UG41110101,cattle,16511,UGA
4,UG41160102,cattle,16505,UGA
4,UG10100201,cattle,59947,UGA
4,UG20360102,cattle,25459,UGA
4,UG20360103,cattle,24849,UGA
4,UG20530104,cattle,38832,UGA
4,UG10040102,cattle,5147,UGA
4,UG20540111,cattle,12077,UGA
4,UG41210102,cattle,19809,UGA
4,UG41030206,cattle,22040,UGA
4,UG20400102,cattle,43278,UGA
4,UG20310102,cattle,14177,UGA
4,UG41060102,cattle,46074,UGA
4,UG20480102,cattle,10735,UGA
4,UG20290110,cattle,27556,UGA
4,UG20290111,cattle,11666,UGA
4,UG20290112,cattle,8038,UGA
4,UG41060202,cattle,27315,UGA
4,UG10180401,cattle,44775,UGA
4,UG20350203,cattle,18657,UGA
4,UG41130103,cattle,29389,UGA
4,UG20350204,cattle,22005,UGA
4,UG20540112,cattle,15302,UGA
4,UG20540113,cattle,10420,UGA
4,UG20540114,cattle,18780,UGA
4,UG20360104,cattle,17458,UGA
4,UG20360105,cattle,14227,UGA
4,UG41100102,cattle,28284,UGA
4,UG10260101,cattle,10144,UGA
4,UG10260601,cattle,48181,UGA
4,UG20520106,cattle,12808,UGA
4,UG20610112,cattle,8564,UGA
4,UG41030207,cattle,8413,UGA
4,UG10180302,cattle,6795,UGA
4,UG20550104,cattle,38054,UGA
4,UG20400302,cattle,67933,UGA
4,UG10220101,cattle,2703,UGA
4,UG20360106,cattle,11205,UGA
4,UG20360107,cattle,16217,UGA
4,UG41030103,cattle,30298,UGA
4,UG41090202,cattle,0,UGA
4,UG20610113,cattle,6784,UGA
4,UG20440103,cattle,34977,UGA
4,UG10180102,cattle,13654,UGA
4,UG20350205,cattle,26344,UGA
4,UG20370101,cattle,17799,UGA
4,UG20370102,cattle,9370,UGA
4,UG10120112,cattle,4267,UGA
4,UG10120113,cattle,250,UGA
4,UG10020103,cattle,44863,UGA
4,UG20610114,cattle,13357,UGA
4,UG41020104,cattle,19098,UGA
4,UG41240103,cattle,29235,UGA
4,UG20520107,cattle,23659,UGA
4,UG41140101,cattle,14468,UGA
4,UG10200101,cattle,26242,UGA
4,UG20520108,cattle,6424,UGA
4,UG41240104,cattle,13556,UGA
4,UG41240105,cattle,16049,UGA
4,UG41280101,cattle,20385,UGA
4,UG10140202,cattle,41498,UGA
4,UG10040103,cattle,6664,UGA
4,UG20530105,cattle,26643,UGA
4,UG20560109,cattle,7133,UGA
4,UG20520109,cattle,7795,UGA
4,UG20610115,cattle,16442,UGA
4,UG20290113,cattle,7778,UGA
4,UG10190101,cattle,48859,UGA
4,UG20520110,cattle,6890,UGA
4,UG20610116,cattle,11573,UGA
4,UG20400303,cattle,72339,UGA
4,UG20400304,cattle,17422,UGA
4,UG10040104,cattle,7426,UGA
4,UG10170102,cattle,42549,UGA
4,UG20300205,cattle,62514,UGA
4,UG20340111,cattle,1786,UGA
4,UG20310103,cattle,40599,UGA
4,UG20350206,cattle,21849,UGA
4,UG41330201,cattle,33504,UGA
4,UG41330202,cattle,5032,UGA
4,UG20380102,cattle,35997,UGA
4,UG20380103,cattle,18555,UGA
4,UG20400305,cattle,41215,UGA
4,UG20430104,cattle,21450,UGA
4,UG20550105,cattle,32096,UGA
4,UG20610117,cattle,15887,UGA
4,UG41330104,cattle,27739,UGA
4,UG41170102,cattle,11080,UGA
4,UG41120102,cattle,22565,UGA
4,UG10040105,cattle,4489,UGA
4,UG41150101,cattle,26177,UGA
4,UG41280102,cattle,9680,UGA
4,UG41150203,cattle,19122,UGA
4,UG41200101,cattle,11380,UGA
4,UG10260301,cattle,67148,UGA
4,UG41250102,cattle,77104,UGA
4,UG41110102,cattle,57183,UGA
4,UG20340112,cattle,5298,UGA
4,UG41130104,cattle,12526,UGA
4,UG41290101,cattle,40661,UGA
4,UG10240101,cattle,17653,UGA
4,UG10120114,cattle,36339,UGA
4,UG41210201,cattle,5413,UGA
4,UG10010201,cattle,42177,UGA
4,UG10080101,cattle,149848,UGA
4,UG10180201,cattle,24469,UGA
4,UG10210101,cattle,70497,UGA
4,UG20390101,cattle,33202,UGA
4,UG20400201,cattle,33981,UGA
