index,placeCode,value,countryCodeISO3,indicator,adminLevel
394,PH042119000,0.085352871,PHL,vulnerable_group,3
395,PH042120000,0.056861357,PHL,vulnerable_group,3
396,PH042121000,0.23578388,PHL,vulnerable_group,3
397,PH042122000,0.096325659,PHL,vulnerable_group,3
398,PH042123000,0.076310668,PHL,vulnerable_group,3
399,PH043401000,0.068208617,PHL,vulnerable_group,3
400,PH043402000,0.129111897,PHL,vulnerable_group,3
401,PH043403000,0.07187713,PHL,vulnerable_group,3
402,PH043404000,0.028235742,PHL,vulnerable_group,3
403,PH043405000,0.035060962,PHL,vulnerable_group,3
404,PH043406000,0.108237167,PHL,vulnerable_group,3
405,PH043407000,0.153127918,PHL,vulnerable_group,3
406,PH043408000,0.182774855,PHL,vulnerable_group,3
407,PH043409000,0.143668037,PHL,vulnerable_group,3
408,PH043410000,0.0621802,PHL,vulnerable_group,3
409,PH043411000,0.057427314,PHL,vulnerable_group,3
410,PH043412000,0.073139159,PHL,vulnerable_group,3
411,PH043413000,0.126640704,PHL,vulnerable_group,3
412,PH043414000,0.195768374,PHL,vulnerable_group,3
413,PH043415000,0.159019812,PHL,vulnerable_group,3
414,PH043416000,0.182704208,PHL,vulnerable_group,3
415,PH043417000,0.086116224,PHL,vulnerable_group,3
416,PH043418000,0.130506912,PHL,vulnerable_group,3
417,PH043419000,0.099050204,PHL,vulnerable_group,3
418,PH043420000,0.220520674,PHL,vulnerable_group,3
419,PH043421000,0.147784165,PHL,vulnerable_group,3
420,PH043422000,0.146830302,PHL,vulnerable_group,3
421,PH043423000,0.066978577,PHL,vulnerable_group,3
422,PH043424000,0.04385734,PHL,vulnerable_group,3
423,PH043425000,0.019595502,PHL,vulnerable_group,3
424,PH043426000,0.057684491,PHL,vulnerable_group,3
425,PH043427000,0.202491766,PHL,vulnerable_group,3
426,PH043428000,0.023239295,PHL,vulnerable_group,3
427,PH043429000,0.101383043,PHL,vulnerable_group,3
428,PH043430000,0.113684617,PHL,vulnerable_group,3
429,PH045601000,0.188212928,PHL,vulnerable_group,3
430,PH045602000,0.210228878,PHL,vulnerable_group,3
431,PH045603000,0.139925114,PHL,vulnerable_group,3
432,PH045605000,0.366893693,PHL,vulnerable_group,3
433,PH045606000,0.383564075,PHL,vulnerable_group,3
434,PH045607000,0.282414443,PHL,vulnerable_group,3
435,PH045608000,0.076077642,PHL,vulnerable_group,3
436,PH045610000,0.2863896,PHL,vulnerable_group,3
437,PH045615000,0.105833204,PHL,vulnerable_group,3
438,PH045616000,0.333215672,PHL,vulnerable_group,3
439,PH045617000,0.34009753,PHL,vulnerable_group,3
440,PH045618000,0.31102169,PHL,vulnerable_group,3
441,PH045619000,0.139898465,PHL,vulnerable_group,3
442,PH045620000,0.147695725,PHL,vulnerable_group,3
443,PH045621000,0.475689882,PHL,vulnerable_group,3
444,PH045622000,0.244945342,PHL,vulnerable_group,3
445,PH045623000,0.056691941,PHL,vulnerable_group,3
446,PH045624000,0.096565818,PHL,vulnerable_group,3
447,PH045625000,0.318189495,PHL,vulnerable_group,3
448,PH045627000,0.205898379,PHL,vulnerable_group,3
449,PH045628000,0.374320476,PHL,vulnerable_group,3
450,PH045629000,0.261711189,PHL,vulnerable_group,3
451,PH045630000,0.094512551,PHL,vulnerable_group,3
452,PH045631000,0.541522491,PHL,vulnerable_group,3
