id,adminLevel,placeCode,value,countryCodeISO3,indicator
364,3,ET040320,0.1,ETH,Hotspot_Nutrition
365,3,ET040324,0.1,ETH,Hotspot_Nutrition
366,3,ET040401,0.1,ETH,Hotspot_Nutrition
367,3,ET040402,0.1,ETH,Hotspot_Nutrition
368,3,ET040403,0.1,ETH,Hotspot_Nutrition
369,3,ET040404,0.1,ETH,Hotspot_Nutrition
370,3,ET040405,0.1,ETH,Hotspot_Nutrition
371,3,ET040406,0.1,ETH,Hotspot_Nutrition
372,3,ET040407,0.1,ETH,Hotspot_Nutrition
373,3,ET040408,0.1,ETH,Hotspot_Nutrition
374,3,ET040409,0.1,ETH,Hotspot_Nutrition
375,3,ET040410,0.1,ETH,Hotspot_Nutrition
376,3,ET040411,0.1,ETH,Hotspot_Nutrition
377,3,ET040412,0.1,ETH,Hotspot_Nutrition
378,3,ET040413,0.1,ETH,Hotspot_Nutrition
379,3,ET040414,0.1,ETH,Hotspot_Nutrition
380,3,ET040415,0.1,ETH,Hotspot_Nutrition
381,3,ET040416,0.1,ETH,Hotspot_Nutrition
382,3,ET040417,0.1,ETH,Hotspot_Nutrition
383,3,ET040418,0.1,ETH,Hotspot_Nutrition
384,3,ET040490,0.1,ETH,Hotspot_Nutrition
385,3,ET040491,0.1,ETH,Hotspot_Nutrition
386,3,ET040495,0.1,ETH,Hotspot_Nutrition
387,3,ET040499,0.1,ETH,Hotspot_Nutrition
388,3,ET040500,0.1,ETH,Hotspot_Nutrition
389,3,ET040501,0.1,ETH,Hotspot_Nutrition
390,3,ET040502,0.1,ETH,Hotspot_Nutrition
391,3,ET040503,0.1,ETH,Hotspot_Nutrition
392,3,ET040504,0.1,ETH,Hotspot_Nutrition
393,3,ET040505,0.1,ETH,Hotspot_Nutrition
394,3,ET040506,0.1,ETH,Hotspot_Nutrition
395,3,ET040507,0.1,ETH,Hotspot_Nutrition
396,3,ET040508,0.1,ETH,Hotspot_Nutrition
397,3,ET040509,0.1,ETH,Hotspot_Nutrition
398,3,ET040510,0.1,ETH,Hotspot_Nutrition
399,3,ET040511,0.1,ETH,Hotspot_Nutrition
400,3,ET040513,0.1,ETH,Hotspot_Nutrition
401,3,ET040514,0.1,ETH,Hotspot_Nutrition
402,3,ET040515,0.1,ETH,Hotspot_Nutrition
403,3,ET040516,0.1,ETH,Hotspot_Nutrition
404,3,ET040517,0.1,ETH,Hotspot_Nutrition
405,3,ET040518,0.1,ETH,Hotspot_Nutrition
406,3,ET040519,0.1,ETH,Hotspot_Nutrition
407,3,ET040590,0.1,ETH,Hotspot_Nutrition
408,3,ET040592,0.1,ETH,Hotspot_Nutrition
409,3,ET040594,0.1,ETH,Hotspot_Nutrition
410,3,ET040597,0.1,ETH,Hotspot_Nutrition
411,3,ET040601,3,ETH,Hotspot_Nutrition
412,3,ET040602,3,ETH,Hotspot_Nutrition
413,3,ET040603,3,ETH,Hotspot_Nutrition
414,3,ET040604,3,ETH,Hotspot_Nutrition
415,3,ET040605,3,ETH,Hotspot_Nutrition
416,3,ET040606,3,ETH,Hotspot_Nutrition
417,3,ET040607,3,ETH,Hotspot_Nutrition
418,3,ET040608,3,ETH,Hotspot_Nutrition
419,3,ET040609,3,ETH,Hotspot_Nutrition
420,3,ET040610,3,ETH,Hotspot_Nutrition
421,3,ET040613,0.1,ETH,Hotspot_Nutrition
422,3,ET040614,3,ETH,Hotspot_Nutrition
423,3,ET040615,3,ETH,Hotspot_Nutrition
424,3,ET040617,3,ETH,Hotspot_Nutrition
425,3,ET040701,3,ETH,Hotspot_Nutrition
426,3,ET040702,3,ETH,Hotspot_Nutrition
427,3,ET040703,3,ETH,Hotspot_Nutrition
428,3,ET040704,0.1,ETH,Hotspot_Nutrition
429,3,ET040705,0.1,ETH,Hotspot_Nutrition
430,3,ET040706,0.1,ETH,Hotspot_Nutrition
431,3,ET040707,3,ETH,Hotspot_Nutrition
432,3,ET040708,3,ETH,Hotspot_Nutrition
433,3,ET040709,0.1,ETH,Hotspot_Nutrition
434,3,ET040710,0.1,ETH,Hotspot_Nutrition
435,3,ET040711,0.1,ETH,Hotspot_Nutrition
