PCODE_Mun_City,percentage_vul_housing
PH061916000,0.049904554
PH061917000,0.13150253
PH067901000,0.098357937
PH067902000,0.085866537
PH067903000,0.246414888
PH067904000,0.129573682
PH067905000,0.185856939
PH063001000,0.158946412
PH063002000,0.023086575
PH063003000,0.066142461
PH063004000,0.048049071
PH063005000,0.340454602
PH063006000,0.094106838
PH063007000,0.101990889
PH063008000,0.074632286
PH063009000,0.129545901
PH063010000,0.013165594
PH063012000,0.034270373
PH063013000,0.043863024
PH063014000,0.256764883
PH063035000,0.074661116
PH063015000,0.138849214
PH063016000,0.094196473
PH063017000,0.028139656
PH063018000,0.063920641
PH063019000,0.125944814
PH063020000,0.096883469
PH063021000,0.018491972
PH063022000,0.03748662
PH063023000,0.074314469
PH063025000,0.045293929
PH063026000,0.161661158
PH063027000,0.033709322
PH063028000,0.023615406
PH063029000,0.052954825
PH063030000,0.090089445
PH063031000,0.096611537
PH063032000,0.034914228
PH063034000,0.105299826
PH063036000,0.02996706
PH063037000,0.12193126
PH063038000,0.061600719
PH063039000,0.081756846
PH063040000,0.131116173
PH063041000,0.050341724
PH063042000,0.026677445
PH063043000,0.068258113
PH063044000,0.046755433
PH063045000,0.1201963
PH063046000,0.025801082
PH063047000,0.112676056
PH071201000,0.0790248
PH071202000,0.118260527
PH071203000,0.1131924
PH071204000,0.012847326
PH071205000,0.057386495
PH071206000,0.021904996
PH071207000,0.00877809
PH071248000,0.276041667
PH071208000,0.033680834
PH071209000,0.208703072
PH071210000,0.057077007
PH071211000,0.194127243
PH071212000,0.022302651
PH071213000,0.031469898
PH071214000,0.095621869
PH071215000,0.031483458
PH071216000,0.093541203
PH071217000,0.043008169
PH071218000,0.085337471
PH071219000,0.036767718
PH071220000,0.020852786
PH071221000,0.079789895
PH071222000,0.073939394
PH071226000,0.260625
PH071223000,0.121426589
PH071224000,0.156134592
PH071225000,0.052236807
PH071227000,0.053794428
PH071228000,0.154192459
PH071229000,0.043666859
PH071230000,0.047099252
PH071231000,0.318971061
PH071232000,0.060947123
PH071233000,0.120103315
PH071234000,0.049116905
PH071235000,0.297502926
PH071236000,0.032333463
PH071237000,0.004562044
