index,placeCode,value,countryCodeISO3,adminLevel,indicator
509,PH031404000,26062,PHL,3,total_houses
510,PH031405000,18019,PHL,3,total_houses
511,PH031406000,15949,PHL,3,total_houses
512,PH031407000,24219,PHL,3,total_houses
513,PH031410000,56255,PHL,3,total_houses
514,PH031412000,49919,PHL,3,total_houses
515,PH031420000,123530,PHL,3,total_houses
516,PH031424000,5059,PHL,3,total_houses
517,PH031408000,22769,PHL,3,total_houses
518,PH031409000,28773,PHL,3,total_houses
519,PH031411000,51591,PHL,3,total_houses
520,PH031413000,24396,PHL,3,total_houses
521,PH031414000,12883,PHL,3,total_houses
522,PH031415000,20193,PHL,3,total_houses
523,PH031416000,11489,PHL,3,total_houses
524,PH031417000,24206,PHL,3,total_houses
525,PH031418000,22279,PHL,3,total_houses
526,PH031419000,23932,PHL,3,total_houses
527,PH031421000,33729,PHL,3,total_houses
528,PH031422000,22051,PHL,3,total_houses
529,PH031423000,57575,PHL,3,total_houses
530,PH034901000,13940,PHL,3,total_houses
531,PH034902000,14819,PHL,3,total_houses
532,PH034903000,66994,PHL,3,total_houses
533,PH034904000,16511,PHL,3,total_houses
534,PH034905000,9588,PHL,3,total_houses
535,PH034908000,24586,PHL,3,total_houses
536,PH034906000,15003,PHL,3,total_houses
537,PH034907000,8484,PHL,3,total_houses
538,PH034909000,9320,PHL,3,total_houses
539,PH034910000,10305,PHL,3,total_houses
540,PH034911000,28325,PHL,3,total_houses
541,PH034912000,17602,PHL,3,total_houses
542,PH034913000,8522,PHL,3,total_houses
543,PH034914000,6374,PHL,3,total_houses
544,PH034915000,9552,PHL,3,total_houses
545,PH034916000,9987,PHL,3,total_houses
546,PH034918000,3018,PHL,3,total_houses
547,PH034919000,9280,PHL,3,total_houses
548,PH034920000,6107,PHL,3,total_houses
549,PH034921000,6819,PHL,3,total_houses
550,PH034922000,9443,PHL,3,total_houses
551,PH034923000,14751,PHL,3,total_houses
552,PH034924000,17419,PHL,3,total_houses
553,PH034925000,11312,PHL,3,total_houses
554,PH034926000,32328,PHL,3,total_houses
555,PH034927000,14690,PHL,3,total_houses
556,PH034928000,15659,PHL,3,total_houses
557,PH034929000,14071,PHL,3,total_houses
558,PH034917000,18907,PHL,3,total_houses
559,PH034930000,27987,PHL,3,total_houses
560,PH034931000,5776,PHL,3,total_houses
561,PH034932000,10982,PHL,3,total_houses
562,PH035401000,94666,PHL,3,total_houses
563,PH035402000,22801,PHL,3,total_houses
564,PH035403000,27433,PHL,3,total_houses
565,PH035404000,9375,PHL,3,total_houses
566,PH035405000,22428,PHL,3,total_houses
567,PH035416000,66370,PHL,3,total_houses
568,PH035406000,28196,PHL,3,total_houses
569,PH035407000,24964,PHL,3,total_houses
570,PH035408000,33868,PHL,3,total_houses
571,PH035409000,55991,PHL,3,total_houses
572,PH035410000,15856,PHL,3,total_houses
573,PH035411000,23821,PHL,3,total_houses
574,PH035412000,11665,PHL,3,total_houses
575,PH035413000,31281,PHL,3,total_houses
576,PH035414000,9527,PHL,3,total_houses
577,PH035415000,27156,PHL,3,total_houses
578,PH035417000,10865,PHL,3,total_houses
579,PH035418000,11226,PHL,3,total_houses
580,PH035419000,10636,PHL,3,total_houses
581,PH035420000,8830,PHL,3,total_houses
582,PH035421000,8675,PHL,3,total_houses
583,PH035422000,5584,PHL,3,total_houses
584,PH036901000,2685,PHL,3,total_houses
585,PH036902000,14739,PHL,3,total_houses
586,PH036903000,19262,PHL,3,total_houses
587,PH036904000,30762,PHL,3,total_houses
588,PH036916000,74429,PHL,3,total_houses
589,PH036905000,32539,PHL,3,total_houses
590,PH036906000,21157,PHL,3,total_houses
591,PH036907000,13885,PHL,3,total_houses
592,PH036908000,7456,PHL,3,total_houses
593,PH036909000,13314,PHL,3,total_houses
594,PH036910000,22013,PHL,3,total_houses
595,PH036911000,5585,PHL,3,total_houses
596,PH036912000,4710,PHL,3,total_houses
597,PH036913000,3017,PHL,3,total_houses
598,PH036918000,8357,PHL,3,total_houses
599,PH036914000,5645,PHL,3,total_houses
600,PH036915000,11454,PHL,3,total_houses
601,PH036917000,15035,PHL,3,total_houses
602,PH037101000,13627,PHL,3,total_houses
603,PH037102000,5966,PHL,3,total_houses
604,PH037103000,6034,PHL,3,total_houses
605,PH037104000,16636,PHL,3,total_houses
606,PH037105000,11450,PHL,3,total_houses
607,PH037106000,10620,PHL,3,total_houses
608,PH037107000,55265,PHL,3,total_houses
609,PH037108000,7857,PHL,3,total_houses
610,PH037109000,8572,PHL,3,total_houses
611,PH037110000,5585,PHL,3,total_houses
612,PH037111000,8019,PHL,3,total_houses
613,PH037112000,7038,PHL,3,total_houses
614,PH037113000,13680,PHL,3,total_houses
615,PH037114000,24760,PHL,3,total_houses
616,PH041001000,7806,PHL,3,total_houses
617,PH041002000,5089,PHL,3,total_houses
618,PH041003000,20414,PHL,3,total_houses
619,PH041004000,4580,PHL,3,total_houses
620,PH041005000,75485,PHL,3,total_houses
621,PH041006000,20241,PHL,3,total_houses
622,PH041007000,17707,PHL,3,total_houses
623,PH041008000,13337,PHL,3,total_houses
624,PH041031000,37426,PHL,3,total_houses
625,PH041009000,7160,PHL,3,total_houses
626,PH041010000,12005,PHL,3,total_houses
627,PH041011000,8551,PHL,3,total_houses
628,PH041012000,19635,PHL,3,total_houses
