"pcode","date","dmp"
"KE001",2012-04-10,13.7
"KE005",2012-04-10,23.5614973262032
"KE030",2012-04-20,34.3795620437956
"KE036",2012-04-20,76.5131578947368
"KE039",2012-04-20,44.9574468085106
"KE040",2012-04-20,51.5514018691589
"KE028",2012-04-20,59.3846153846154
"KE014",2012-04-20,50.3488372093023
"KE007",2012-04-20,9.07106782106782
"KE043",2012-04-20,57.4371859296482
"KE019",2012-04-20,54.2946859903382
"KE011",2012-04-20,9.07763401109057
"KE034",2012-04-20,30.7677279305355
"KE037",2012-04-20,54.5079365079365
"KE035",2012-04-20,61.6428571428571
"KE022",2012-04-20,53.1069182389937
"KE003",2012-04-20,17.8636942675159
"KE020",2012-04-20,64.3548387096774
"KE045",2012-04-20,76.75
"KE042",2012-04-20,54.4126984126984
"KE015",2012-04-20,23.3237113402062
"KE002",2012-04-20,26.1576923076923
"KE031",2012-04-20,28.3469055374593
"KE016",2012-04-20,35.860103626943
"KE017",2012-04-20,35.8620689655172
"KE009",2012-04-20,13.8174698795181
"KE025",2012-04-20,22.4752623688156
"KE010",2012-04-20,10.8022075055188
"KE012",2012-04-20,43.7404921700224
"KE044",2012-04-20,60.1360946745562
"KE021",2012-04-20,65.8036809815951
"KE047",2012-04-20,26.1627906976744
"KE032",2012-04-20,38.8606194690265
"KE029",2012-04-20,63.5792349726776
"KE046",2012-04-20,76.3793103448276
"KE018",2012-04-20,41.7073170731707
"KE041",2012-04-20,58.66875
"KE006",2012-04-20,20.0824175824176
"KE004",2012-04-20,7.43983903420523
"KE013",2012-04-20,46.8231707317073
"KE026",2012-04-20,37.6858974358974
"KE023",2012-04-20,9.69011142061281
"KE027",2012-04-20,35.6272727272727
"KE038",2012-04-20,69.0263157894737
"KE008",2012-04-20,8.35295743504699
"KE024",2012-04-20,29.9131175468484
"KE033",2012-04-20,52.4553415061296
"KE001",2012-04-20,12.8
"KE005",2012-04-20,22.4732620320856
"KE030",2012-04-30,46.9810218978102
"KE036",2012-04-30,68.9470198675497
"KE039",2012-04-30,46.2287234042553
"KE040",2012-04-30,56.0093457943925
"KE028",2012-04-30,58.1897435897436
"KE014",2012-04-30,57.1802325581395
"KE007",2012-04-30,11.1237373737374
"KE043",2012-04-30,63.4723618090452
"KE019",2012-04-30,52.1014492753623
"KE011",2012-04-30,11.4430067775724
"KE034",2012-04-30,39.1403762662808
"KE037",2012-04-30,54.3439153439153
"KE035",2012-04-30,58.6168831168831
"KE022",2012-04-30,50.6918238993711
"KE003",2012-04-30,18.5834394904459
"KE020",2012-04-30,65.5869565217391
"KE045",2012-04-30,71.3875
"KE042",2012-04-30,56.8809523809524
"KE015",2012-04-30,31.0989690721649
"KE002",2012-04-30,24.8153846153846
"KE031",2012-04-30,36.6058631921824
"KE016",2012-04-30,43.5932642487047
"KE017",2012-04-30,43.7873563218391
"KE009",2012-04-30,19.8301204819277
"KE025",2012-04-30,33.1596701649175
"KE010",2012-04-30,17.0690949227373
"KE012",2012-04-30,50.8542600896861
"KE044",2012-04-30,60.0650887573965
"KE021",2012-04-30,63.8895705521472
"KE047",2012-04-30,29.3023255813953
"KE032",2012-04-30,40.8407079646018
"KE029",2012-04-30,60.1092896174863
"KE046",2012-04-30,70.6724137931034
"KE018",2012-04-30,41.9804878048781
"KE041",2012-04-30,65.05
"KE006",2012-04-30,22.2875457875458
"KE004",2012-04-30,9.10704225352113
"KE013",2012-04-30,55.3536585365854
"KE026",2012-04-30,38.0833333333333
"KE023",2012-04-30,18.7493036211699
"KE027",2012-04-30,36.4454545454545
"KE038",2012-04-30,67.7631578947368
"KE008",2012-04-30,10.6920950801548
"KE024",2012-04-30,42.4923339011925
"KE033",2012-04-30,51.0297462817148
"KE001",2012-04-30,13.1
"KE005",2012-04-30,26.4438502673797
"KE030",2012-05-10,61.7182481751825
"KE036",2012-05-10,76.9139072847682
"KE039",2012-05-10,55.9574468085106
"KE040",2012-05-10,62.7570093457944
"KE028",2012-05-10,69.0410256410256
