CODE,name,COMMON NAME,OWNERSHIP,type,STATUS,lat,lon,depth,vulnerability,fid
"CODE0RangeIndex(start=1, stop=785, step=1)",ወይንሸት መድኃኒት መደብር,ወይንሸት መድኃኒት መደብር,,,,8.924,39.421,0,no risk,183
"CODE0RangeIndex(start=1, stop=785, step=1)",አዲስ መድኃኒት መደብር,አዲስ መድኃኒት መደብር,,,,8.926,39.422,0,no risk,184
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,hospital,,9.02,38.75,0,no risk,185
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.0,38.772,0,no risk,186
"CODE0RangeIndex(start=1, stop=785, step=1)",Ethiopia Pharmacy,Ethiopia Pharmacy,,,,13.494,39.474,0,no risk,187
"CODE0RangeIndex(start=1, stop=785, step=1)",ሲቲ ከፍተኛ ልዩ የጥርስ ህክምና ክሊኒክ,ሲቲ ከፍተኛ ልዩ የጥርስ ህክምና ክሊኒክ,,,,8.999,38.759,0,no risk,188
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.998,38.695,0,no risk,189
"CODE0RangeIndex(start=1, stop=785, step=1)",Clinic small,Clinic small,,,,8.406,39.337,0,no risk,190
"CODE0RangeIndex(start=1, stop=785, step=1)",Kliniken Seenaa,Kliniken Seenaa,,,,8.507,39.283,0,no risk,191
"CODE0RangeIndex(start=1, stop=785, step=1)",ከተማ መድሀኒት ቤት,ከተማ መድሀኒት ቤት,,,,9.034,38.711,0,no risk,192
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.998,38.814,0,no risk,193
"CODE0RangeIndex(start=1, stop=785, step=1)",Goha Pharmacy,Goha Pharmacy,,pharmacy,,12.61,37.47,0,no risk,194
"CODE0RangeIndex(start=1, stop=785, step=1)",Nolawi Drug Store,Nolawi Drug Store,,pharmacy,,12.611,37.458,0,no risk,195
"CODE0RangeIndex(start=1, stop=785, step=1)",Genet Drug Store,Genet Drug Store,,pharmacy,,12.035,39.043,0,no risk,196
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,pharmacy,,12.036,39.047,0,no risk,197
"CODE0RangeIndex(start=1, stop=785, step=1)",Aemero Drug Store,Aemero Drug Store,,pharmacy,,12.036,39.047,0,no risk,198
"CODE0RangeIndex(start=1, stop=785, step=1)",Birle Drug Store,Birle Drug Store,,pharmacy,,12.036,39.047,0,no risk,199
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,4.896,38.092,0,no risk,200
"CODE0RangeIndex(start=1, stop=785, step=1)",ቦናት ክልንክ,ቦናት ክልንክ,,,,9.052,38.716,0,no risk,201
