wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.8154374 9.6033046, 41.8155393 9.6034197, 41.8155996 9.6034884, 41.8156761 9.6035612, 41.8157177 9.6035916, 41.8157619 9.6036127, 41.8159175 9.6036921, 41.8159896 9.6037427))",,residential,,0,no risk,80
"MULTILINESTRING ((41.8178788 9.6075926, 41.8175466 9.6066705))",,residential,,0,no risk,81
"MULTILINESTRING ((41.8395498 9.6007519, 41.8397006 9.6011718, 41.8397073 9.6012286, 41.8396926 9.6012617))",,service,,0,no risk,82
"MULTILINESTRING ((41.8362969 9.6020855, 41.8367691 9.6019204))",,residential,,0,no risk,83
"MULTILINESTRING ((41.8341721 9.6121557, 41.8342335 9.6121106))",,residential,,0,no risk,84
"MULTILINESTRING ((41.8336107 9.6177863, 41.8336281 9.6177909, 41.8339755 9.6178524, 41.8342142 9.6178577))",,residential,,0,no risk,85
"MULTILINESTRING ((41.8327953 9.6167761, 41.8330286 9.6172045, 41.833085 9.6172666))",,residential,,0,no risk,86
"MULTILINESTRING ((41.8699171 9.613756, 41.8698983 9.6137772, 41.8698795 9.613797, 41.8698473 9.6138248, 41.8697374 9.6139054, 41.8694262 9.6141091, 41.8693404 9.6141686, 41.8693028 9.6142254, 41.86928 9.6143008, 41.8692532 9.6144449, 41.8692519 9.6145507, 41.8692599 9.6146023, 41.869323 9.6147451, 41.86939 9.6148469))",,residential,,0,no risk,87
"MULTILINESTRING ((41.8507528 9.6148746, 41.8507768 9.6149117, 41.8507849 9.614958, 41.8507891 9.6150588, 41.8508023 9.6152013, 41.8507916 9.6152423, 41.8507607 9.6153044, 41.8505931 9.615516))",,residential,,0,no risk,88
"MULTILINESTRING ((41.8512368 9.6101191, 41.8512073 9.6101634, 41.8511906 9.6101925, 41.8511678 9.6102494, 41.851149 9.610328, 41.8511275 9.6104179, 41.8510876 9.6104508, 41.8509404 9.6105118, 41.8509248 9.6105237))",,residential,,0,no risk,89
"MULTILINESTRING ((41.8492351 9.6107759, 41.849272 9.6107666, 41.8492967 9.6107578, 41.8505628 9.6101149, 41.8506467 9.6100715, 41.8507661 9.6100094, 41.8508318 9.6099902, 41.850868 9.6099889, 41.8511503 9.6100748, 41.8514588 9.6100662, 41.8517169 9.6100927, 41.8519597 9.6101297, 41.8520603 9.6101403, 41.8521447 9.6101575, 41.8522393 9.6102057, 41.8522903 9.6102328, 41.8524304 9.610287))",,residential,,0,no risk,90
"MULTILINESTRING ((41.8514501 9.6122804, 41.851729 9.6121019, 41.8519248 9.6119882))",,residential,,0,no risk,91
"MULTILINESTRING ((41.8330018 9.6015923, 41.8329589 9.6016478, 41.8328355 9.6017126, 41.832696 9.6017509, 41.8326049 9.6017589, 41.8325083 9.6017536, 41.83246 9.6017443))",,residential,,0,no risk,92
"MULTILINESTRING ((41.8454119 9.6016607, 41.8454875 9.6016359))",,residential,,0,no risk,93
"MULTILINESTRING ((41.841109 9.606997, 41.8411696 9.6065319))",,residential,,0,no risk,94
"MULTILINESTRING ((41.8337205 9.6199476, 41.8339688 9.6200235, 41.8341511 9.6200341, 41.8343318 9.6200159, 41.8346232 9.6199865, 41.834752 9.6199601, 41.8348911 9.6199001))",,residential,,0,no risk,95
