date,year,month,district,DMP
2012-04-01,2012,4,AMUDAT,8396
2012-04-01,2012,4,NTUNGAMO,27159
2012-04-01,2012,4,RUKUNGIRI,22197
2012-04-01,2012,4,MITOOMA,11142
2012-04-01,2012,4,SHEEMA,9580
2012-04-01,2012,4,LUUKA,6606
2012-04-01,2012,4,NWOYA,51496
2012-04-01,2012,4,KABAROLE,23596
2012-04-01,2012,4,NAMAYINGO,5933
2012-05-01,2012,5,TORORO,16138
2012-05-01,2012,5,KUMI,12041
2012-05-01,2012,5,LUWERO,37832
2012-05-01,2012,5,OTUKE,21670
2012-05-01,2012,5,LUUKA,9650
2012-05-01,2012,5,MUBENDE,78657
2012-05-01,2012,5,NAMUTUMBA,9922
2012-05-01,2012,5,BUNYANGABU,7923
2012-05-01,2012,5,BUKEDEA,13407
2012-05-01,2012,5,KIRUHURA,74771
2012-05-01,2012,5,MOROTO,38105
2012-05-01,2012,5,BUNDIBUGYO,14631
2012-05-01,2012,5,NGORA,7687
2012-05-01,2012,5,KABALE,7644
2012-05-01,2012,5,NTOROKO,18091
2012-05-01,2012,5,LAMWO,77249
2012-05-01,2012,5,KALIRO,9803
2012-05-01,2012,5,MUKONO,30944
2012-05-01,2012,5,KASESE,44655
2012-05-01,2012,5,KOBOKO,12196
2012-05-01,2012,5,BUYENDE,17168
2012-05-01,2012,5,LYANTONDE,13479
2012-05-01,2012,5,PAKWACH,10900
2012-05-01,2012,5,NAMISINDWA,4442
2012-05-01,2012,5,KAPCHORWA,5267
2012-05-01,2012,5,KAMWENGE,43292
2012-05-01,2012,5,KAKUMIRO,30562
2012-05-01,2012,5,KIBOGA,27518
2012-05-01,2012,5,AMURU,55554
2012-05-01,2012,5,KABAROLE,27603
2012-05-01,2012,5,KITGUM,58655
2012-05-01,2012,5,ZOMBO,14533
2012-05-01,2012,5,PADER,48785
2012-05-01,2012,5,AGAGO,49995
2012-05-01,2012,5,KAMPALA,1006
2012-05-01,2012,5,SSEMBABULE,36689
2012-05-01,2012,5,SERERE,19061
2012-05-01,2012,5,IGANGA,13711
2012-05-01,2012,5,KIBUKU,5894
2012-05-01,2012,5,BUDUDA,3827
2012-05-01,2012,5,NWOYA,74534
2012-05-01,2012,5,GULU,29971
2012-05-01,2012,5,MPIGI,17971
2012-05-01,2012,5,BUTEBO,4033
2012-05-01,2012,5,KOLE,13777
2012-05-01,2012,5,KAABONG,83912
2012-05-01,2012,5,KOTIDO,39325
2012-05-01,2012,5,LIRA,15611
2012-05-01,2012,5,MOYO,19235
2012-05-01,2012,5,BUTAMBALA,6457
2012-05-01,2012,5,KANUNGU,20828
2012-05-01,2012,5,BUIKWE,20411
2012-05-01,2012,5,WAKISO,27002
2012-05-01,2012,5,ADJUMANI,47045
2012-05-01,2012,5,LWENGO,14956
2012-05-01,2012,5,RUKUNGIRI,24148
2012-05-01,2012,5,IBANDA,15996
2012-05-01,2012,5,KYENJOJO,43741
2012-05-01,2012,5,NAKAPIRIPIRIT,50075
2012-05-01,2012,5,BUHWEJU,12975
2012-05-01,2012,5,AMOLATAR,13593
2012-05-01,2012,5,PALLISA,8035
2012-05-01,2012,5,JINJA,8675
2012-05-01,2012,5,NAMAYINGO,7299
2012-05-01,2012,5,MBALE,6748
2012-05-01,2012,5,KABERAMAIDO,17942
2012-05-01,2012,5,BUVUMA,3518
2012-05-01,2012,5,KAMULI,22804
2012-05-01,2012,5,RAKAI,35451
2012-05-01,2012,5,OMORO,26324
2012-05-01,2012,5,MITYANA,26107
2012-05-01,2012,5,KAGADI,26089
2012-05-01,2012,5,KATAKWI,27391
2012-05-01,2012,5,NAKASONGOLA,52143
2012-05-01,2012,5,BUKWO,6932
2012-05-01,2012,5,DOKOLO,12335
2012-05-01,2012,5,MAYUGE,14792
2012-05-01,2012,5,NEBBI,11432
2012-05-01,2012,5,KYEGEGWA,29798
2012-05-01,2012,5,KIRYANDONGO,60560
2012-05-01,2012,5,RUBANDA,9404
2012-05-01,2012,5,NTUNGAMO,28635
2012-05-01,2012,5,SHEEMA,10253
2012-05-01,2012,5,KAYUNGA,24404
2012-05-01,2012,5,MASINDI,67436
2012-05-01,2012,5,AMUDAT,19530
2012-05-01,2012,5,MASAKA,15691
2012-05-01,2012,5,BULAMBULI,8423
2012-05-01,2012,5,BUSIA,10689
2012-05-01,2012,5,SOROTI,16939
2012-05-01,2012,5,ALEBTONG,18324
2012-05-01,2012,5,SIRONKO,6698
2012-05-01,2012,5,YUMBE,30096
2012-05-01,2012,5,BUGIRI,14809
2012-05-01,2012,5,ABIM,36865
2012-05-01,2012,5,HOIMA,68508
2012-05-01,2012,5,APAC,41621
2012-05-01,2012,5,ISINGIRO,37345
2012-05-01,2012,5,NAKASEKE,57125
2012-05-01,2012,5,MITOOMA,11814
2012-05-01,2012,5,BUSHENYI,13417
2012-05-01,2012,5,AMURIA,31111
2012-05-01,2012,5,BUTALEJA,9227
2012-05-01,2012,5,NAPAK,49686
2012-05-01,2012,5,GOMBA,25480
2012-05-01,2012,5,BUDAKA,4827
2012-05-01,2012,5,BULIISA,19379
2012-05-01,2012,5,MARACHA,4643
2012-05-01,2012,5,KISORO,11814
2012-05-01,2012,5,BUKOMANSIMBI,8704
2012-05-01,2012,5,ARUA,52525
2012-05-01,2012,5,KALANGALA,3887
2012-05-01,2012,5,KALUNGU,10528
2012-05-01,2012,5,MANAFWA,2905
2012-05-01,2012,5,KIBAALE,22331
2012-05-01,2012,5,RUKIGA,5430
2012-05-01,2012,5,KWEEN,9655
2012-05-01,2012,5,MBARARA,25911
2012-05-01,2012,5,KYANKWANZI,44898
2012-05-01,2012,5,OYAM,32236
2012-05-01,2012,5,RUBIRIZI,19700
2012-05-01,2012,5,KYOTARA,11070
2012-06-01,2012,6,NAMUTUMBA,10202
2012-06-01,2012,6,KALUNGU,9621
2012-06-01,2012,6,NAMAYINGO,6340
2012-06-01,2012,6,NGORA,7298
2012-06-01,2012,6,KANUNGU,18256
2012-06-01,2012,6,NEBBI,11032
2012-06-01,2012,6,BUGIRI,13310
2012-06-01,2012,6,ADJUMANI,45197
2012-06-01,2012,6,NTUNGAMO,24365
2012-06-01,2012,6,KALANGALA,3645
2012-06-01,2012,6,BUDUDA,3620
2012-06-01,2012,6,HOIMA,61780
2012-06-01,2012,6,NAKASONGOLA,48754
2012-06-01,2012,6,NAMISINDWA,4582
2012-06-01,2012,6,KAMPALA,875
2012-06-01,2012,6,KAMULI,22401
2012-06-01,2012,6,ARUA,54573
2012-06-01,2012,6,KAMWENGE,35057
2012-06-01,2012,6,NAKAPIRIPIRIT,50252
2012-06-01,2012,6,KALIRO,10016
